SECTION_DE,SECTION_LE,ROAD_NUMBE,ROAD_HIERA,NO_OF_LANE,SECTION_WI,SPEED_LIMI,ROAD_CLASS,ROAD_NAME,DISTRICT_N,WARD_NAME,NSG_USRN,EAST_SUSSE,Section_ID,X,Y,Route_ID,Zone
Southdown Avenue,259,U5102,M105,2,6.5,30,UU,SOUTHDOWN AVENUE,1 Lewes,Lewes,23301027,4b,1440U5102_/0020,0,996,673,7
SOUTHDOWN AVENUE,60,U5875,M105,2,6.5,30,UU,SOUTHDOWN AVENUE,1 Lewes,Peacehaven,23300366,4b,1440U5875_/0142,0,6,102,8
SOUTHDOWN AVENUE,115,U5875,M105,2,6.5,30,UU,SOUTHDOWN AVENUE,1 Lewes,Peacehaven,23300366,4b,1440U5875_/0140,0,366,452,8
SOUTHDOWN AVENUE,215,U5876,M105,2,6.5,30,UU,SOUTHDOWN AVENUE,1 Lewes,Peacehaven,23300366,4b,1440U5876_/0020,0,6,814,8
SOUTHDOWN CLOSE,62,U5290,M105,2,6.5,30,UU,SOUTHDOWN CLOSE,1 Lewes,Newhaven,23300921,4b,1440U5290_/0020,0,6,824,9
Southdown Place - Southdown Place,40,U5136,M105,2,6.5,30,UU,SOUTHDOWN PLACE,1 Lewes,Lewes,23301313,4b,1440U5136_/0017,0,606,880,7
SOUTHDOWN ROAD,37,U5290,M105,2,6.5,30,UU,HAVEN WAY,1 Lewes,Newhaven,23301694,4b,1440U5290_/0015,0,996,904,9
SOUTHDOWN ROAD,253,U5290,M105,2,6.5,30,UU,SOUTHDOWN ROAD,1 Lewes,Newhaven,23300920,4b,1440U5290_/0010,0,1,722,9
Southdown Road - Southdown Road,203,U5447,M105,2,6.5,30,UU,SOUTHDOWN ROAD,1 Lewes,Seaford,23301160,4b,1440U5447_/0012,0,996,838,10
SOUTHDOWN ROAD (PART),210,U5447,M105,2,6.5,30,UU,SOUTHDOWN ROAD,1 Lewes,Seaford,23301160,4b,1440U5447_/0015,0,1,136,10
SOUTHDOWN ROAD (PART),703,U5447,M105,2,6.5,30,UU,SOUTHDOWN ROAD,1 Lewes,Seaford,23301160,4b,1440U5447_/0010,0,696,563,10
SOUTHDOWN-SEAVIEW,73,U5875,M105,2,6.5,30,UU,SOUTHDOWN SEAVIEW LINK ROAD,1 Lewes,Peacehaven,23301378,4b,1440U5875_/0144,0,6,389,8
Southdowns,67,U5918,M105,2,6.5,60,RU,SOUTHDOWNS,1 Lewes,Plumpton,23300524,4b,1440U5918_/0010,0,1,519,5
Southdowns - Southdowns,39,U5918,M105,2,6.5,60,RU,SOUTHDOWNS,1 Lewes,Plumpton,23300524,4b,1440U5918_/0012,0,1,150,5
Southerham Lane,540,U5065,M105,2,6.5,30,UU,SOUTHERHAM LANE,1 Lewes,Glynde,23301072,4b,1440U5065_/0010,0,261,620,7
Southover Road (Part),147,U5122,M105,2,6.5,30,UU,SOUTHOVER HIGH STREET,1 Lewes,Lewes,23300999,4b,1440U5122_/0045,0,1,789,7
Southover Road (Part),336,U5122,M105,2,6.5,30,UU,SOUTHOVER ROAD,1 Lewes,Lewes,23300011,4b,1440U5122_/0040,0,1,995,7
Southview - Southview,11,U5241,M105,2,6.5,60,RU,SOUTH VIEW,1 Lewes,Ditchling,23301352,4b,1440U5241_/0012,0,121,915,5
Southview Drive,204,U7771,M105,2,6.5,30,UU,SOUTHVIEW DRIVE,3 Wealden,Uckfield,42700012,4b,1440U7771_/0010,0,6,785,14
SOUTHVIEW ROAD,72,U5851,M105,2,6.5,30,UU,SOUTHVIEW ROAD,1 Lewes,Peacehaven,23300194,4b,1440U5851_/0040,0,996,954,8
SOUTHVIEW ROAD,389,U5852,M105,2,6.5,30,UU,SOUTHVIEW ROAD,1 Lewes,Peacehaven,23300194,4b,1440U5852_/0070,0,1,969,8
Southway,40,U5101,M105,2,6.5,30,UU,Southway,1 Lewes,Lewes,23300071,4b,1440U5101_/0028,0,541,594,7
SOVEREIGN CLOSE,54,U5424,M105,2,6.5,30,UU,SOVEREIGN CLOSE,1 Lewes,Seaford,23300786,4b,1440U5424_/0010,0,916,420,10
Spatham Lane,3038,U5996,M105,2,6.5,60,RU,SPATHAM LANE,1 Lewes,Westmeston,23300515,4b,1440U5996_/0010,0,816,134,5
Spences Field (Part),94,U5134,M105,2,6.5,30,UU,SPENCES FIELD,1 Lewes,Lewes,23300128,4b,1440U5134_/0055,0,6,148,7
Spences Field (Part),108,U5134,M105,2,6.5,30,UU,SPENCES FIELD,1 Lewes,Lewes,23300128,4b,1440U5134_/0050,0,286,374,7
Spences Lane,411,U5134,M105,2,6.5,30,UU,SPENCES LANE,1 Lewes,Lewes,23300104,4b,1440U5134_/0010,0,241,491,7
Spring Gardens,77,U5151,M105,2,6.5,30,UU,SPRING GARDENS,1 Lewes,Lewes,23300092,4b,1440U5151_/0120,0,146,71,7
Spring Meadow,22,U7514,M105,2,6.5,30,UU,Spring Meadow,3 Wealden,Uckfield,42702835,4b,1440U7514_/0045,0,366,438,14
Spring Meadow,137,U7514,M105,2,6.5,30,UU,Spring Meadow,3 Wealden,Uckfield,42702835,4b,1440U7514_/0035,0,741,39,14
Springett Avenue,215,U5572,M105,2,6.5,60,RU,SPRINGETT AVENUE,1 Lewes,Ringmer,23300415,4b,1440U5572_/0020,0,556,290,13
Springett Avenue,382,U5572,M105,2,6.5,60,RU,SPRINGETT AVENUE,1 Lewes,Ringmer,23300415,4b,1440U5572_/0030,0,596,245,13
SPRINGFIELD AVENUE,257,U5820,M105,2,6.5,30,UU,SPRINGFIELD AVENUE,1 Lewes,Telscombe,23300220,4b,1440U5820_/0040,0,996,610,8
