SectionID,Chainage,200,400,600,800,1000,1200,1400,1600,1800,2000,2200,2400,2600,2800,3000,3200,3400,3600,3800,4000,Direction,StartCh,EndCh,Length,SECTION_LE,Network
1440U7711_/0010,344.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,344.2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,344.4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,344.6,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,344.8,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,345.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,345.2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,345.4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,345.6,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,345.8,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,346.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,346.2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,346.4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,346.6,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,346.8,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,347.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,347.2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,347.4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,347.6,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,347.8,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,348.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,348.2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,348.4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,348.6,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,348.8,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,349.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,349.2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,349.4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,349.6,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,349.8,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,350.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,350.2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,350.4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,350.6,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,350.8,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,351.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,351.2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,351.4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,351.6,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,351.8,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,352.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,352.2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,352.4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,352.6,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,352.8,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,353.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,353.2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,353.4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,353.6,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,353.8,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,354.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,354.2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,354.4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,354.6,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,354.8,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,355.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,355.2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,355.4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,355.6,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,355.8,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,356.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,356.2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,356.4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,356.6,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,356.8,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,357.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,357.2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,357.4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,357.6,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,357.8,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,358.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,358.2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,358.4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,358.6,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,358.8,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,359.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,359.2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,359.4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,359.6,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,359.8,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,360.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,360.2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,360.4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,360.6,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,360.8,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,361.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,361.2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,361.4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,361.6,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,361.8,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,362.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,362.2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,362.4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,362.6,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,362.8,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,363.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,363.2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,363.4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,363.6,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,363.8,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
1440U7711_/0010,364.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0.0,20.0,20.0,105.0,4b
