GRD_Start_Ch,GRD_End_Ch,Section,Start_Ch,End_Ch,Length,Direction,SECTION_DE,SECTION_LE,ROAD_NUMBE,ROAD_HIERA,NO_OF_LANE,SECTION_WI,SPEED_LIMI,ROAD_CLASS,ROAD_NAME,DISTRICT_N,WARD_NAME,NSG_USRN,EAST_SUSSE,X,Y,Route_ID,Zone
262.0,282.0,1440U7465_/0010,20.0,40.0,20.0,R,2,224.0,U7465,M105,2,6.5,60,RU,RIVERSIDE,3 Wealden,Forest Row,42700275,4b,0,996,751,1
282.0,302.0,1440U7465_/0010,40.0,60.0,20.0,R,2,224.0,U7465,M105,2,6.5,60,RU,RIVERSIDE,3 Wealden,Forest Row,42700275,4b,0,996,751,1
302.0,322.0,1440U7465_/0010,60.0,80.0,20.0,R,2,224.0,U7465,M105,2,6.5,60,RU,RIVERSIDE,3 Wealden,Forest Row,42700275,4b,0,996,751,1
322.0,342.0,1440U7465_/0010,80.0,100.0,20.0,R,2,224.0,U7465,M105,2,6.5,60,RU,RIVERSIDE,3 Wealden,Forest Row,42700275,4b,0,996,751,1
342.0,362.0,1440U7465_/0010,100.0,120.0,20.0,R,2,224.0,U7465,M105,2,6.5,60,RU,RIVERSIDE,3 Wealden,Forest Row,42700275,4b,0,996,751,1
362.0,365.6,1440U7465_/0010,120.0,123.5,3.5,R,2,224.0,U7465,M105,2,6.5,60,RU,RIVERSIDE,3 Wealden,Forest Row,42700275,4b,0,996,751,1
512.4,532.4,1440U7465_/0010,123.5,140.0,16.5,R,2,224.0,U7465,M105,2,6.5,60,RU,RIVERSIDE,3 Wealden,Forest Row,42700275,4b,0,996,751,1
532.4,552.4,1440U7465_/0010,140.0,160.0,20.0,R,2,224.0,U7465,M105,2,6.5,60,RU,RIVERSIDE,3 Wealden,Forest Row,42700275,4b,0,996,751,1
552.4,572.4,1440U7465_/0010,160.0,180.0,20.0,R,2,224.0,U7465,M105,2,6.5,60,RU,RIVERSIDE,3 Wealden,Forest Row,42700275,4b,0,996,751,1
572.4,592.4,1440U7465_/0010,180.0,200.0,20.0,R,2,224.0,U7465,M105,2,6.5,60,RU,RIVERSIDE,3 Wealden,Forest Row,42700275,4b,0,996,751,1
592.4,612.4,1440U7465_/0010,200.0,220.0,20.0,R,2,224.0,U7465,M105,2,6.5,60,RU,RIVERSIDE,3 Wealden,Forest Row,42700275,4b,0,996,751,1
612.4,616.4,1440U7465_/0010,220.0,224.0,4.0,R,2,224.0,U7465,M105,2,6.5,60,RU,RIVERSIDE,3 Wealden,Forest Row,42700275,4b,0,996,751,1
625.8,645.8,1440U7520_/0020,0.0,20.0,20.0,F,2,331.0,U7520,M105,2,6.5,60,RU,LOWER ROAD,3 Wealden,Forest Row,42702137,4b,0,166,417,1
645.8,665.8,1440U7520_/0020,20.0,40.0,20.0,F,2,331.0,U7520,M105,2,6.5,60,RU,LOWER ROAD,3 Wealden,Forest Row,42702137,4b,0,166,417,1
665.8,685.8,1440U7520_/0020,40.0,60.0,20.0,F,2,331.0,U7520,M105,2,6.5,60,RU,LOWER ROAD,3 Wealden,Forest Row,42702137,4b,0,166,417,1
685.8,705.8,1440U7520_/0020,60.0,80.0,20.0,F,2,331.0,U7520,M105,2,6.5,60,RU,LOWER ROAD,3 Wealden,Forest Row,42702137,4b,0,166,417,1
705.8,725.8,1440U7520_/0020,80.0,100.0,20.0,F,2,331.0,U7520,M105,2,6.5,60,RU,LOWER ROAD,3 Wealden,Forest Row,42702137,4b,0,166,417,1
725.8,745.8,1440U7520_/0020,100.0,120.0,20.0,F,2,331.0,U7520,M105,2,6.5,60,RU,LOWER ROAD,3 Wealden,Forest Row,42702137,4b,0,166,417,1
745.8,765.8,1440U7520_/0020,120.0,140.0,20.0,F,2,331.0,U7520,M105,2,6.5,60,RU,LOWER ROAD,3 Wealden,Forest Row,42702137,4b,0,166,417,1
765.8,785.8,1440U7520_/0020,140.0,160.0,20.0,F,2,331.0,U7520,M105,2,6.5,60,RU,LOWER ROAD,3 Wealden,Forest Row,42702137,4b,0,166,417,1
785.8,805.8,1440U7520_/0020,160.0,180.0,20.0,F,2,331.0,U7520,M105,2,6.5,60,RU,LOWER ROAD,3 Wealden,Forest Row,42702137,4b,0,166,417,1
805.8,826.0,1440U7520_/0020,180.0,200.0,20.0,F,2,331.0,U7520,M105,2,6.5,60,RU,LOWER ROAD,3 Wealden,Forest Row,42702137,4b,0,166,417,1
826.0,846.0,1440U7520_/0020,200.0,220.0,20.0,F,2,331.0,U7520,M105,2,6.5,60,RU,LOWER ROAD,3 Wealden,Forest Row,42702137,4b,0,166,417,1
846.0,866.0,1440U7520_/0020,220.0,240.0,20.0,F,2,331.0,U7520,M105,2,6.5,60,RU,LOWER ROAD,3 Wealden,Forest Row,42702137,4b,0,166,417,1
866.0,886.0,1440U7520_/0020,240.0,260.0,20.0,F,2,331.0,U7520,M105,2,6.5,60,RU,LOWER ROAD,3 Wealden,Forest Row,42702137,4b,0,166,417,1
886.0,906.0,1440U7520_/0020,260.0,280.0,20.0,F,2,331.0,U7520,M105,2,6.5,60,RU,LOWER ROAD,3 Wealden,Forest Row,42702137,4b,0,166,417,1
906.0,926.0,1440U7520_/0020,280.0,300.0,20.0,F,2,331.0,U7520,M105,2,6.5,60,RU,LOWER ROAD,3 Wealden,Forest Row,42702137,4b,0,166,417,1
926.0,946.0,1440U7520_/0020,300.0,320.0,20.0,F,2,331.0,U7520,M105,2,6.5,60,RU,LOWER ROAD,3 Wealden,Forest Row,42702137,4b,0,166,417,1
946.0,957.0,1440U7520_/0020,320.0,331.0,11.0,F,2,331.0,U7520,M105,2,6.5,60,RU,LOWER ROAD,3 Wealden,Forest Row,42702137,4b,0,166,417,1
1690.8,1710.8,1440U7464_/0010,0.0,20.0,20.0,R,2,660.0,U7464,M105,2,6.5,60,RU,FRESHFIELD BANK,3 Wealden,Forest Row,42700258,4b,0,556,442,1
1710.8,1730.8,1440U7464_/0010,20.0,40.0,20.0,R,2,660.0,U7464,M105,2,6.5,60,RU,FRESHFIELD BANK,3 Wealden,Forest Row,42700258,4b,0,556,442,1
1730.8,1750.8,1440U7464_/0010,40.0,60.0,20.0,R,2,660.0,U7464,M105,2,6.5,60,RU,FRESHFIELD BANK,3 Wealden,Forest Row,42700258,4b,0,556,442,1
1750.8,1770.8,1440U7464_/0010,60.0,80.0,20.0,R,2,660.0,U7464,M105,2,6.5,60,RU,FRESHFIELD BANK,3 Wealden,Forest Row,42700258,4b,0,556,442,1
1770.8,1782.0,1440U7464_/0010,80.0,91.2,11.2,R,2,660.0,U7464,M105,2,6.5,60,RU,FRESHFIELD BANK,3 Wealden,Forest Row,42700258,4b,0,556,442,1
