Section_ID,Chainage,_1000,_2000,_3000,_4000,SectionID,Direction,StartCh,EndCh,Length
Section,225.0,0,0,0,0,1440U5060_/0010,R,80,100,20
Section,226.0,0,0,0,0,1440U5060_/0010,R,80,100,20
Section,227.0,0,0,0,0,1440U5060_/0010,R,80,100,20
Section,228.0,0,0,0,0,1440U5060_/0010,R,80,100,20
Section,229.0,0,0,0,0,1440U5060_/0010,R,80,100,20
Section,230.0,0,0,0,0,1440U5060_/0010,R,80,100,20
Section,231.0,0,0,0,0,1440U5060_/0010,R,80,100,20
Section,232.0,0,0,0,4,1440U5060_/0010,R,80,100,20
Section,233.0,0,0,0,4,1440U5060_/0010,R,80,100,20
Section,234.0,0,0,0,4,1440U5060_/0010,R,80,100,20
Section,234.0,0,0,0,4,1440U5060_/0010,R,100,120,20
Section,235.0,0,0,0,4,1440U5060_/0010,R,100,120,20
Section,236.0,0,0,0,4,1440U5060_/0010,R,100,120,20
Section,237.0,0,0,0,4,1440U5060_/0010,R,100,120,20
Section,238.0,0,0,0,4,1440U5060_/0010,R,100,120,20
Section,239.0,0,0,7,7,1440U5060_/0010,R,100,120,20
Section,240.0,0,0,7,7,1440U5060_/0010,R,100,120,20
Section,241.0,0,0,7,7,1440U5060_/0010,R,100,120,20
Section,242.0,0,0,7,7,1440U5060_/0010,R,100,120,20
Section,243.0,0,0,7,7,1440U5060_/0010,R,100,120,20
Section,244.0,0,0,0,0,1440U5060_/0010,R,100,120,20
Section,245.0,0,0,0,0,1440U5060_/0010,R,100,120,20
Section,246.0,0,0,0,0,1440U5060_/0010,R,100,120,20
Section,247.0,0,0,0,0,1440U5060_/0010,R,100,120,20
Section,248.0,0,0,0,0,1440U5060_/0010,R,100,120,20
Section,249.0,0,0,0,0,1440U5060_/0010,R,100,120,20
Section,250.0,0,0,0,0,1440U5060_/0010,R,100,120,20
Section,251.0,0,0,0,0,1440U5060_/0010,R,100,120,20
Section,252.0,0,0,0,0,1440U5060_/0010,R,100,120,20
Section,253.0,0,0,0,0,1440U5060_/0010,R,100,120,20
Section,254.0,0,0,0,0,1440U5060_/0010,R,100,120,20
Section,254.0,0,0,0,0,1440U5060_/0010,R,120,140,20
Section,255.0,0,0,0,0,1440U5060_/0010,R,120,140,20
Section,256.0,0,0,0,0,1440U5060_/0010,R,120,140,20
Section,257.0,0,0,0,0,1440U5060_/0010,R,120,140,20
Section,258.0,0,0,0,0,1440U5060_/0010,R,120,140,20
